"Sales_ID","Game_ID","Platform_ID","Release_Date_ID","Update_Date_ID","Publisher_ID","Region_ID","Units_Sold","Global_Sales"
1,7,19,38,1,394,3,0.1,0.25
2,84,19,37,1,578,3,0.09,0.19999999999999998
3,106,19,39,1,157,3,0.23,0.47000000000000003
4,119,19,38,1,11,3,0.03,0.04
5,132,19,38,1,542,3,0.28,0.8200000000000001
6,133,19,38,1,542,3,0.28,0.8200000000000001
7,135,19,38,1,195,3,0.07,0.09000000000000001
8,143,19,38,1,406,3,0.01,0.01
9,150,19,38,1,394,3,0,0.09999999999999999
10,161,19,40,1,71,3,0,0
11,193,19,36,1,326,3,0.07,0.14
12,200,19,37,1,432,3,0.03,0.05
13,202,19,38,1,517,3,0.02,0.02
14,208,19,36,1,618,3,0,0
15,213,19,37,1,365,3,0.05,0.09000000000000001
16,218,19,37,1,365,3,0,0
17,231,19,38,1,136,3,0.08,0.19
18,244,19,36,1,303,3,0,0
19,245,19,37,1,406,3,0.03,0.04
20,257,19,40,1,123,3,0,0
21,265,19,37,1,432,3,0.05,0.07
22,267,19,35,1,25,3,0.09,0.13
23,268,19,38,1,25,3,0,0.01
24,275,19,37,1,349,3,0,0
25,291,19,35,1,507,3,0.29,1.0899999999999999
26,292,19,35,1,507,3,0.29,1.0899999999999999
27,343,19,38,1,606,3,0.1,0.12000000000000001
28,361,19,37,1,311,3,0,0
29,374,19,34,1,27,3,0.11,0.24000000000000002
30,376,19,37,1,63,3,0.01,0.04
31,399,19,40,1,157,3,0,0
32,404,19,38,1,530,3,0,0.03
33,405,19,38,1,530,3,0,0.03
34,432,19,37,1,349,3,0.03,0.04
35,448,19,36,1,416,3,0.04,0.05
36,466,19,38,1,349,3,0.02,0.02
37,468,19,39,1,319,3,0.02,0.02
38,510,19,37,1,576,3,0.03,0.14
39,525,19,37,1,606,3,0.02,0.1
40,526,19,36,1,606,3,0,0.04
41,527,19,36,1,606,3,0,0.04
42,532,19,34,1,606,3,1.07,3.1900000000000004
43,533,19,34,1,606,3,1.07,3.1900000000000004
44,534,19,38,1,606,3,1.22,4.07
45,535,19,36,1,606,3,0.9,3.59
46,536,19,37,1,606,3,0.14,0.8
47,542,19,35,1,606,3,1.25,4.15
48,543,19,36,1,606,3,0,0
49,547,19,37,1,490,3,0.04,0.05
50,549,19,37,1,11,3,0,0.07999999999999999
51,564,19,37,1,59,3,0.05,0.060000000000000005
52,565,19,37,1,59,3,0.05,0.060000000000000005
53,571,19,37,1,576,3,0.02,0.08
54,576,19,38,1,576,3,0.03,0.06999999999999999
55,581,19,41,1,241,3,0,0
56,582,19,36,1,576,3,0.04,0.15000000000000002
57,590,19,37,1,576,3,0.08,0.5
58,591,19,39,1,312,3,0.09,0.22
59,601,19,38,1,518,3,0.04,0.060000000000000005
60,603,19,35,1,128,3,0,0
61,604,19,38,1,69,3,0.03,0.04
62,623,19,36,1,578,3,0.1,0.18000000000000002
63,649,19,38,1,559,3,0.02,0.03
64,722,19,37,1,578,3,0.09,0.19
65,725,19,36,1,632,3,1.65,4.1
66,728,19,37,1,633,3,0.32,0.39
67,731,19,37,1,633,3,0.15,0.65
68,734,19,38,1,578,3,0.05,0.060000000000000005
69,745,19,38,1,559,3,0.03,0.060000000000000005
70,750,19,37,1,329,3,0,0.01
71,760,19,37,1,416,3,0.01,0.01
72,770,19,37,1,6,3,0.25,0.48000000000000004
73,772,19,37,1,157,3,2.2,7.26
74,780,19,34,1,157,3,1.4,3.9499999999999997
75,784,19,36,1,157,3,0.72,2.16
76,790,19,37,1,523,3,0.09,0.16
77,791,19,37,1,523,3,0.09,0.16
78,825,19,38,1,428,3,0.04,0.05
79,835,19,37,1,576,3,0,0
80,836,19,37,1,576,3,0.07,0.16
81,863,19,37,1,212,3,0.02,0.02
82,887,19,37,1,6,3,0.41,0.86
83,889,19,39,1,559,3,0,0
84,896,19,38,1,393,3,0.05,0.060000000000000005
85,908,19,38,1,559,3,0.04,0.05
86,910,19,37,1,268,3,0.04,0.09
87,915,19,38,1,303,3,0.02,0.03
88,916,19,34,1,444,3,0,0
89,920,19,36,1,507,3,0,0.03
90,925,19,36,1,576,3,0.11,0.21
91,926,19,36,1,79,3,0,0
92,934,19,37,1,432,3,0.1,0.17
93,938,19,36,1,432,3,0.08,0.15999999999999998
94,939,19,36,1,432,3,0.08,0.15999999999999998
95,983,19,36,1,182,3,0,0
96,994,19,36,1,520,3,1.3,3.11
97,995,19,36,1,520,3,1.3,3.11
98,996,19,36,1,520,3,0,0
99,1008,19,35,1,182,3,0,0
100,1009,19,38,1,576,3,0.07,0.15
101,1056,19,35,1,8,3,0,0
102,1069,19,36,1,6,3,0.69,1.28
103,1076,19,35,1,182,3,0.08,0.21
104,1077,19,35,1,182,3,0.08,0.21
105,1115,19,39,1,523,3,0.12,0.26999999999999996
106,1132,19,36,1,416,3,0,0
107,1134,19,36,1,489,3,0,0.06999999999999999
108,1148,19,40,1,606,3,0,0
109,1150,19,36,1,11,3,0.04,0.15
110,1164,19,38,1,23,3,0.04,0.05
111,1185,19,38,1,220,3,0.05,0.13
112,1304,19,35,1,27,3,2.84,7.539999999999999
113,1306,19,36,1,27,3,6.18,15.08
114,1309,19,34,1,27,3,1.79,4.17
115,1310,19,37,1,27,3,3.11,8.49
116,1314,19,38,1,27,3,0.17,0.59
117,1320,19,38,1,27,3,4.67,13.399999999999999
118,1361,19,37,1,536,3,0.02,0.02
119,1362,19,36,1,536,3,0,0
120,1375,19,38,1,633,3,0.06,0.29
121,1381,19,37,1,349,3,0.05,0.060000000000000005
122,1466,19,38,1,130,3,0,0
123,1467,19,36,1,432,3,0,0.02
124,1468,19,36,1,432,3,0,0.02
125,1469,19,38,1,12,3,0,0.01
126,1502,19,35,1,606,3,0,0.05
127,1555,19,38,1,311,3,0.15,0.31
128,1560,19,38,1,394,3,0,0.07
129,1563,19,38,1,393,3,0.02,0.02
130,1617,19,39,1,70,3,0,0
131,1699,19,38,1,551,3,0.09,0.11
132,1707,19,34,1,112,3,0,0
133,1708,19,34,1,112,3,0,0
134,1747,19,38,1,411,3,0.01,0.02
135,1761,19,38,1,27,3,1.09,4.82
136,1819,19,38,1,512,3,0,0
137,1824,19,37,1,394,3,0,0.03
138,1851,19,36,1,486,3,0,0
139,1868,19,39,1,94,3,0,0
140,1877,19,34,1,525,3,0,0
141,1878,19,34,1,525,3,0,0
142,1888,19,38,1,45,3,0,0.01
143,1893,19,38,1,75,3,0.22,0.5599999999999999
144,1987,19,38,1,393,3,0.08,0.12000000000000001
145,1989,19,38,1,393,3,0.03,0.05
146,1990,19,38,1,393,3,0.03,0.05
147,1997,19,38,1,300,3,0,0.01
148,2011,19,36,1,394,3,0.27,0.69
149,2012,19,37,1,394,3,1,2.4099999999999997
150,2019,19,39,1,360,3,0.02,0.04
151,2023,19,36,1,416,3,0.1,0.24000000000000002
152,2024,19,36,1,416,3,0.1,0.24000000000000002
153,2025,19,39,1,559,3,0.13,0.24000000000000002
154,2026,19,37,1,559,3,0.07,0.11000000000000001
155,2027,19,37,1,559,3,0.07,0.11000000000000001
156,2037,19,38,1,111,3,0,0.01
157,2038,19,38,1,111,3,0,0.01
158,2050,19,40,1,523,3,0,0
159,2053,19,38,1,559,3,0,0
160,2055,19,38,1,349,3,0.04,0.05
161,2059,19,38,1,136,3,0,0
162,2060,19,37,1,136,3,0.09,0.22999999999999998
163,2063,19,37,1,98,3,0.04,0.06999999999999999
164,2064,19,37,1,98,3,0.04,0.06999999999999999
165,2067,19,38,1,98,3,0.08,0.16
166,2073,19,38,1,11,3,0.11,0.22999999999999998
167,2079,19,36,1,576,3,0.09,0.35
168,2083,19,37,1,576,3,0,0.06
169,2098,19,36,1,27,3,0.26,0.47000000000000003
170,2120,19,36,1,576,3,0,0.01
171,2121,19,36,1,576,3,0,0
172,2124,19,41,1,98,3,0,0
173,2129,19,38,1,349,3,0.04,0.05
174,2140,19,38,1,478,3,0.05,0.060000000000000005
175,2153,19,38,1,393,3,0.04,0.05
176,2156,19,36,1,507,3,0,0
177,2198,19,35,1,27,3,2.53,5.76
178,2199,19,38,1,27,3,1.92,4.15
179,2201,19,37,1,27,3,0.24,0.78
180,2202,19,36,1,27,3,0.97,2.18
181,2220,19,39,1,523,3,0.55,1.5800000000000003
182,2224,19,37,1,533,3,0.25,0.7200000000000001
183,2232,19,36,1,98,3,0.01,0.09999999999999999
184,2243,19,38,1,104,3,0.1,0.49000000000000005
185,2244,19,37,1,104,3,0.13,0.51
186,2249,19,35,1,84,3,0.83,2.83
187,2275,19,37,1,394,3,0,0.12000000000000001
188,2276,19,38,1,394,3,0.05,0.16
189,2289,19,38,1,394,3,0.13,0.24
190,2290,19,38,1,394,3,0.13,0.24
191,2296,19,37,1,63,3,0,0.02
192,2321,19,36,1,393,3,0.15,0.35
193,2327,19,36,1,75,3,0.12,0.41
194,2328,19,37,1,75,3,0.62,1.9600000000000002
195,2329,19,38,1,75,3,0.1,0.33
196,2340,19,35,1,142,3,0.37,0.75
197,2341,19,35,1,142,3,0.37,0.75
198,2342,19,36,1,142,3,0.31,0.85
199,2413,19,39,1,533,3,0.19,0.46
200,2420,19,36,1,182,3,0.13,0.35
201,2421,19,36,1,98,3,0.12,0.3
202,2450,19,36,1,598,3,0.01,0.12
203,2451,19,37,1,598,3,0,0
204,2454,19,39,1,11,3,0.04,0.05
205,2479,19,37,1,75,3,0.93,2.91
206,2541,19,35,1,157,3,1.07,2.33
207,2546,19,39,1,394,3,0.61,1.4700000000000002
208,2600,19,36,1,394,3,0.33,1.19
209,2601,19,37,1,394,3,0.54,1.5
210,2608,19,37,1,533,3,0.12,0.5900000000000001
211,2610,19,37,1,533,3,0.05,0.47
212,2612,19,36,1,533,3,0.21,0.81
213,2635,19,38,1,533,3,0,0.06
214,2636,19,38,1,533,3,0.29,2.04
215,2653,19,38,1,98,3,0.07,0.2
216,2655,19,37,1,98,3,0,0.03
217,2656,19,38,1,98,3,0,0.01
218,2709,19,35,1,520,3,0.37,2.38
219,2710,19,37,1,523,3,0.12,0.26
220,2740,19,37,1,220,3,0.07,0.09000000000000001
221,2768,19,37,1,303,3,0.02,0.02
222,2769,19,38,1,303,3,0.03,0.04
223,2773,19,36,1,632,3,1.18,2.4499999999999997
224,2794,19,35,1,576,3,0.07,0.21000000000000002
225,2795,19,35,1,576,3,0.07,0.21000000000000002
226,2796,19,35,1,576,3,0.09,0.31
227,2797,19,35,1,576,3,0.09,0.31
228,2805,19,37,1,576,3,0,0.03
229,2806,19,37,1,576,3,0,0.03
230,2825,19,36,1,150,3,0,0
231,2826,19,35,1,157,3,0.49,1.1099999999999999
232,2827,19,35,1,157,3,0.49,1.1099999999999999
233,2828,19,37,1,150,3,0.44,1.3
234,2829,19,39,1,150,3,0.4,0.9800000000000001
235,2860,19,37,1,523,3,0.11,0.21
236,2863,19,37,1,606,3,0.09,0.19999999999999998
237,2868,19,36,1,124,3,0,0.11
238,2869,19,36,1,124,3,0,0.11
239,2871,19,36,1,432,3,0.05,0.08
240,2874,19,37,1,490,3,0.02,0.02
241,2912,19,38,1,559,3,0.03,0.23
242,2917,19,38,1,190,3,0.06,0.19
243,2980,19,36,1,517,3,0,0
244,3002,19,40,1,525,3,0,0
245,3007,19,38,1,523,3,0.12,0.5700000000000001
246,3016,19,36,1,6,3,0.38,1
247,3028,19,36,1,34,3,0.02,0.05
